date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:20	975247/975247	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Dec%202022%2018:34:27%20GMT	https://dappersa.co.za/assets/img/slider/redDrapper_crop.jpg	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/redDrapper_crop.jpg	(from https://dappersa.co.za/about-us.html)
18:46:26	6622/6622	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:01%20GMT	https://dappersa.co.za/assets/img/shape/12.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/12.webp	(from https://dappersa.co.za/about-us.html)
18:46:36	5026/5026	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:10%20GMT	https://dappersa.co.za/assets/img/shape/17.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/17.webp	(from https://dappersa.co.za/about-us.html)
18:46:44	796/796	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Jun%202024%2017:46:43%20GMT	https://dappersa.co.za/%22assets/img/slider/redDrapper_crop.jpg%22	C:/My%20Web%20Sites/Dapper/dappersa.co.za/_assets/img/slider/redDrapper_crop.55.delayed	(from https://dappersa.co.za/shop.html)
18:46:53	121803/121803	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2018:34:33%20GMT	https://dappersa.co.za/assets/img/slider/red_side.png	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/red_side.png	(from https://dappersa.co.za/shop.html)
18:47:01	127987/127987	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2019:16:49%20GMT	https://dappersa.co.za/assets/img/slider/redWhit_side.png	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/redWhit_side.png	(from https://dappersa.co.za/shop.html)
18:47:05	148898/148898	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2016:43:00%20GMT	https://dappersa.co.za/assets/img/slider/turq_side.png	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/turq_side.png	(from https://dappersa.co.za/shop.html)
18:47:13	2484/2484	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Dec%202022%2016:29:11%20GMT	https://dappersa.co.za/assets/img/shape/13.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/13.webp	(from https://dappersa.co.za/contact.html)
18:47:26	2876/2876	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:05%20GMT	https://dappersa.co.za/assets/img/shape/15.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/15.webp	(from https://dappersa.co.za/contact.html)
18:47:37	1358181/1358181	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Dec%202022%2010:41:41%20GMT	https://dappersa.co.za/assets/img/slider/brown_side.png	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/brown_side.png	(from https://dappersa.co.za/shop.html)
18:47:38	3950/3950	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:41:07%20GMT	https://dappersa.co.za/assets/img/shape/16.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/16.webp	(from https://dappersa.co.za/contact.html)
18:47:44	1168/1168	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:37:41%20GMT	https://dappersa.co.za/assets/img/icons/c1.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/c1.webp	(from https://dappersa.co.za/contact.html)
18:47:49	1758/1758	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:40:33%20GMT	https://dappersa.co.za/assets/img/icons/c2.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/c2.webp	(from https://dappersa.co.za/contact.html)
18:47:49	7282963/7282963	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2016:37:55%20GMT	https://dappersa.co.za/assets/img/slider/FounderPoster3.png	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/slider/FounderPoster3.png	(from https://dappersa.co.za/about-us.html)
18:47:50	1688/1688	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:40:35%20GMT	https://dappersa.co.za/assets/img/icons/c3.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/c3.webp	(from https://dappersa.co.za/contact.html)
18:47:50	2502/2502	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Dec%202022%2018:31:19%20GMT	https://dappersa.co.za/assets/img/photos/payment-card.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/photos/payment-card.webp	(from https://dappersa.co.za/single-product.html)
18:47:51	226/226	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:48:21%20GMT	https://dappersa.co.za/assets/img/shop/product-mini/3.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shop/product-mini/3.webp	(from https://dappersa.co.za/shop-cart.html)
18:47:51	450/450	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:06:36%20GMT	https://dappersa.co.za/assets/img/photos/paypal2.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/photos/paypal2.webp	(from https://dappersa.co.za/shop-checkout.html)
